idCosteo,Tipo,idHijo,Nombre,Medida,idTipoFase,Nombre,idCosteo,dni,Cantidad,CostoUnitario,CostoTotal,FechaRegistro
1,V,0,"COSTOS VARIABLES",,1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
2,V,1,"EMPADRE (Macho)",Und.,1,REPRODUCCIÓN,1,47238670,1,35.00,1.17,"2021-04-20 00:00:00"
3,V,1,"EMPADRE (Hembra)",Und.,1,REPRODUCCIÓN,2,47238670,6,35.00,7.00,"2021-04-20 00:00:00"
4,V,1,"No. de partos por hembra",Veces,1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
5,V,1,"No. de gazapos por hembra",Und.,1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
6,V,0,ALIMENTACIÓN,,1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
7,V,6,"Forraje verde / Desidratado",Kilos,1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
8,V,6,"Forraje verde / Desidratado","Paquete (11Kls.)",1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
9,V,6,"Forraje verde (Consumo Per-Cápita)","diario (gr.)",1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
10,V,6,"Forraje verde (Consumo Per-Cápita)","diario (gr.)",1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
11,V,6,Concentrados/suplemento,Kilos,1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
12,V,6,Concentrados/suplemento,"Sacos (49Kls.)",1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
13,V,6,"Concentrados/suplemento (Consumo Per-Cápita)","diario (gr.)",1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
14,V,0,VACUNAS,,1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
15,V,14,"Antiparasitarios, etc",Unid.,1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
16,V,14,"Antiparasitarios, etc",Veces,1,REPRODUCCIÓN,0,,0,0.00,0.00,"2021-04-20 11:01:16"
1,V,0,"COSTOS VARIABLES",,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
2,V,1,"EMPADRE (Macho)",Und.,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
3,V,1,"EMPADRE (Hembra)",Und.,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
4,V,1,"No. de partos por hembra",Veces,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
5,V,1,"No. de gazapos por hembra",Und.,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
