idCosteo,Tipo,idHijo,ElementoCosto,Medida,idTipoFase,NombreFase,idCosteo,dni,Cantidad,CostoUnitario,CostoTotal,FechaRegistro
1,V,0,COSTOS VARIABLES,,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
1,V,0,COSTOS VARIABLES,,2,LACTANCIA,0,,0,0,0,25/04/2021
1,V,0,COSTOS VARIABLES,,3,RECRIA,0,,0,0,0,25/04/2021
1,V,0,COSTOS VARIABLES,,4,ENGORDE,0,,0,0,0,25/04/2021
2,V,1,EMPADRE (Macho),Und.,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
2,V,1,EMPADRE (Macho),Und.,2,LACTANCIA,0,,0,0,0,25/04/2021
2,V,1,EMPADRE (Macho),Und.,3,RECRIA,0,,0,0,0,25/04/2021
2,V,1,EMPADRE (Macho),Und.,4,ENGORDE,0,,0,0,0,25/04/2021
3,V,1,EMPADRE (Hembra),Und.,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
3,V,1,EMPADRE (Hembra),Und.,2,LACTANCIA,0,,0,0,0,25/04/2021
3,V,1,EMPADRE (Hembra),Und.,3,RECRIA,0,,0,0,0,25/04/2021
3,V,1,EMPADRE (Hembra),Und.,4,ENGORDE,0,,0,0,0,25/04/2021
4,V,1,No. de partos por hembra,Veces,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
4,V,1,No. de partos por hembra,Veces,2,LACTANCIA,0,,0,0,0,25/04/2021
4,V,1,No. de partos por hembra,Veces,3,RECRIA,0,,0,0,0,25/04/2021
4,V,1,No. de partos por hembra,Veces,4,ENGORDE,0,,0,0,0,25/04/2021
5,V,1,No. de gazapos por hembra,Und.,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
5,V,1,No. de gazapos por hembra,Und.,2,LACTANCIA,0,,0,0,0,25/04/2021
5,V,1,No. de gazapos por hembra,Und.,3,RECRIA,0,,0,0,0,25/04/2021
5,V,1,No. de gazapos por hembra,Und.,4,ENGORDE,0,,0,0,0,25/04/2021
6,V,0,ALIMENTACIÓN,,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
6,V,0,ALIMENTACIÓN,,2,LACTANCIA,0,,0,0,0,25/04/2021
6,V,0,ALIMENTACIÓN,,3,RECRIA,0,,0,0,0,25/04/2021
6,V,0,ALIMENTACIÓN,,4,ENGORDE,0,,0,0,0,25/04/2021
7,V,6,Forraje verde / Desidratado,Kilos,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
7,V,6,Forraje verde / Desidratado,Kilos,2,LACTANCIA,0,,0,0,0,25/04/2021
7,V,6,Forraje verde / Desidratado,Kilos,3,RECRIA,0,,0,0,0,25/04/2021
7,V,6,Forraje verde / Desidratado,Kilos,4,ENGORDE,0,,0,0,0,25/04/2021
8,V,6,Forraje verde / Desidratado,Paquete (11Kls.),1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
8,V,6,Forraje verde / Desidratado,Paquete (11Kls.),2,LACTANCIA,0,,0,0,0,25/04/2021
8,V,6,Forraje verde / Desidratado,Paquete (11Kls.),3,RECRIA,0,,0,0,0,25/04/2021
8,V,6,Forraje verde / Desidratado,Paquete (11Kls.),4,ENGORDE,0,,0,0,0,25/04/2021
9,V,6,Forraje verde (Consumo Per-Cápita),diario (gr.),1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
